Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Debt_To_Income_Ratio,Dependents,Approved
28,86,540,81,4,0.841374966,0,0
49,68,603,52,16,0.867584353,3,0
25,163,545,25,29,0.94858314,4,0
51,55,672,94,24,0.221498145,1,1
55,179,342,18,16,0.507660208,3,0
67,174,485,60,16,0.221229062,2,0
49,112,533,48,31,0.577911173,3,0
25,65,602,81,36,0.485611658,3,1
42,139,406,66,16,0.712661436,5,0
65,196,848,64,7,0.528323582,0,0
66,114,699,8,3,0.32937149,4,1
35,149,395,82,24,0.948052543,0,0
50,42,574,45,21,0.23416074,4,0
25,75,448,6,34,0.011092494,3,0
32,119,333,6,21,0.882671935,4,0
38,63,805,93,37,0.293118103,0,1
53,109,419,75,34,0.894907205,3,0
38,106,413,61,8,0.340466593,0,0
28,99,620,96,9,0.617266287,1,0
24,148,747,32,24,0.345334316,1,1
47,181,506,51,11,0.231103025,5,0
53,63,449,51,7,0.337169603,1,0
64,115,348,57,15,0.788617749,0,0
38,111,501,91,38,0.288441952,1,0
54,29,431,68,18,0.62498665,4,0
66,131,315,9,34,0.109112644,2,0
57,179,438,33,12,0.449097725,4,0
19,100,552,20,32,0.014624043,5,0
22,71,372,57,20,0.949759795,1,0
64,111,668,8,19,0.426204772,5,1
26,148,396,27,18,0.713215646,5,0
18,164,571,100,2,0.116340223,2,0
21,193,746,10,32,0.179642982,1,1
26,23,410,69,23,0.752781643,2,0
58,165,571,66,36,0.568514413,1,0
40,155,609,100,37,0.618641517,4,0
66,146,362,56,23,0.39990863,1,0
18,21,822,29,16,0.275592617,1,0
38,70,704,7,27,0.617052993,0,0
59,91,836,42,2,0.917024252,0,0
40,149,316,52,10,0.18364385,0,0
49,198,549,84,29,0.665845604,4,1
49,62,690,88,22,0.883065808,2,0
66,120,483,57,16,0.553673042,2,0
18,43,324,72,11,0.86176971,4,0
46,165,572,21,35,0.173801489,2,0
52,35,432,23,40,0.314972201,2,0
27,66,376,10,32,0.5057936,2,0
54,129,417,60,26,0.016777714,0,0
64,60,482,11,14,0.823383718,2,0
35,61,762,71,20,0.404952486,4,1
69,174,307,60,30,0.98542035,3,0
30,197,805,27,4,0.244159656,2,1
58,53,427,34,2,0.85587578,5,0
35,46,474,82,31,0.539409461,2,0
68,173,504,46,33,0.216460174,5,0
64,174,847,32,4,0.190088792,4,1
24,114,695,85,31,0.800763787,2,0
54,194,819,24,29,0.294856313,0,1
37,114,328,21,7,0.89755841,5,0
38,193,675,69,25,0.587718283,2,0
58,88,484,25,36,0.801052775,5,0
63,163,555,57,27,0.235061005,5,0
32,91,568,77,18,0.487980155,0,0
56,101,548,84,26,0.920360314,0,0
31,129,658,70,34,0.010468573,5,1
45,119,676,55,28,0.302958081,5,1
50,175,509,34,25,0.424685158,1,0
57,36,647,96,24,0.040600102,2,0
19,68,695,56,16,0.255256019,2,1
65,88,715,83,13,0.08960706,1,1
45,71,349,46,33,0.312131223,1,0
52,34,698,23,14,0.904210314,4,0
70,135,574,20,15,0.031031033,2,0
38,42,784,49,19,0.698591419,3,0
26,69,679,15,4,0.129636502,5,1
54,101,833,86,4,0.395600475,5,1
45,160,337,24,29,0.660066002,0,0
69,44,335,62,38,0.121619459,4,0
52,98,572,10,15,0.453168092,2,0
39,75,842,33,38,0.444580903,0,1
45,96,506,93,26,0.480207208,1,0
54,183,847,74,35,0.350392334,2,1
22,172,391,42,0,0.413363396,3,0
25,117,463,85,18,0.257819477,2,0
36,133,685,31,24,0.161886823,5,1
34,198,445,99,7,0.979808399,1,0
48,77,714,21,37,0.28249855,1,1
22,69,700,80,28,0.536688412,3,0
22,194,374,32,35,0.042753538,4,0
46,56,406,35,23,0.371633813,0,0
29,141,670,14,28,0.829573053,1,0
29,105,306,31,30,0.625161811,0,0
21,103,796,83,0,0.438355654,5,1
43,174,503,16,36,0.978596334,4,0
59,48,343,89,38,0.239200041,2,0
44,139,355,11,7,0.33433878,1,0
70,198,575,51,20,0.173148561,2,0
46,176,644,46,0,0.965443987,4,0
42,198,520,26,35,0.692340944,2,1
33,72,552,51,36,0.995280241,1,0
28,76,559,52,15,0.45733668,3,0
59,191,757,63,19,0.720945674,3,0
25,181,327,30,22,0.693600223,5,0
35,59,626,28,6,0.466065784,2,1
25,195,493,21,19,0.335768899,2,0
45,36,607,55,15,0.540920307,2,0
25,81,712,52,34,0.13639004,5,1
44,45,472,85,2,0.921799229,2,0
62,132,312,32,27,0.912629311,1,0
36,159,510,67,27,0.32660288,3,0
28,135,342,92,30,0.726940944,5,0
59,88,551,38,10,0.479463945,3,0
37,182,523,73,37,0.252919413,5,0
27,165,716,94,38,0.873087395,0,1
36,126,594,28,1,0.923132319,0,0
66,101,419,55,10,0.190186527,1,0
30,183,359,19,17,0.344638221,5,0
47,95,314,99,2,0.32879376,2,0
70,91,469,22,40,0.177145034,1,0
31,43,783,9,32,0.979940255,3,0
37,191,432,40,39,0.159044247,5,0
52,101,387,42,35,0.261649013,5,0
34,155,375,75,13,0.188057144,4,0
39,157,589,45,30,0.71051065,4,0
36,41,347,85,34,0.954216817,4,0
29,130,839,46,30,0.193157103,1,1
41,103,769,62,18,0.439728638,0,1
53,119,416,26,15,0.856615128,1,0
63,121,645,15,0,0.648140123,3,0
57,68,742,92,36,0.911684436,4,0
25,77,724,73,8,0.709955105,3,0
62,56,497,67,8,0.047343865,1,0
51,140,535,51,20,0.876901468,4,0
59,113,782,75,3,0.594808316,0,0
18,170,377,23,3,0.454125576,5,1
37,72,708,82,37,0.079402955,4,1
42,168,330,74,29,0.488033246,2,0
62,171,486,12,26,0.737084358,3,0
70,79,410,12,8,0.876004413,4,0
45,175,454,33,28,0.507191888,4,0
48,77,801,90,22,0.591972593,1,0
28,36,378,80,1,0.79897689,4,0
41,151,752,14,38,0.593567757,3,0
19,150,676,50,30,0.794059132,3,0
55,96,768,77,20,0.995780394,0,0
66,34,314,65,18,0.770915646,3,0
33,98,405,82,21,0.78577072,1,0
69,200,838,60,23,0.412482199,4,1
30,42,517,77,25,0.212692061,2,0
20,151,749,49,3,0.599101356,4,0
33,47,840,56,26,0.020377147,5,0
39,132,522,58,21,0.666825344,4,0
56,177,465,97,33,0.561846375,4,0
19,75,711,89,2,0.742803746,5,0
47,190,674,89,34,0.730305277,1,0
58,191,592,64,2,0.618621685,0,0
54,131,732,39,30,0.396971662,2,1
62,57,785,15,23,0.431707258,4,1
18,87,377,32,13,0.898019741,0,0
44,99,779,100,9,0.705292623,4,0
54,123,368,49,38,0.162141879,2,0
41,61,482,69,10,0.568050254,0,0
39,131,485,34,5,0.218455927,2,0
43,53,479,100,33,0.79713884,0,0
46,108,385,18,7,0.486974252,0,0
21,125,602,26,22,0.11338071,0,0
45,173,743,66,17,0.866337897,5,0
20,125,493,19,33,0.249823213,3,0
61,75,557,83,15,0.993063717,3,0
43,57,310,94,2,0.037222685,3,0
25,72,369,14,1,0.960756285,1,0
61,37,385,40,22,0.239277463,5,0
56,52,514,61,35,0.774130381,5,0
41,108,394,74,13,0.386782298,3,0
45,114,339,20,21,0.356766582,5,0
47,36,509,16,17,0.415496446,3,0
61,56,386,37,36,0.181317476,3,0
41,93,447,21,5,0.725769674,5,0
22,199,650,21,2,0.185304084,5,1
37,46,642,80,8,0.60523522,5,0
69,87,728,75,27,0.199700416,0,1
35,124,498,48,40,0.322175505,0,0
19,97,309,45,17,0.224570172,3,0
64,132,819,52,26,0.168753808,5,1
21,117,762,42,35,0.7667752,1,0
63,138,420,51,11,0.349384692,2,0
45,41,663,33,7,0.134467553,2,0
42,55,335,9,18,0.576343013,3,0
35,117,406,50,9,0.334766342,4,0
43,199,313,89,8,0.710773683,3,0
32,99,605,99,7,0.971171769,2,0
52,185,352,44,22,0.530079102,4,0
44,104,544,73,2,0.11015364,2,0
42,46,448,54,30,0.764939318,0,0
41,45,305,17,38,0.215285225,5,0
69,188,544,88,12,0.689945911,4,0
29,101,379,63,4,0.835012672,1,0
69,145,808,43,8,0.031379688,2,1
27,158,758,90,32,0.681529731,3,0
38,195,342,37,5,0.424030446,3,0
53,130,307,17,20,0.558449201,5,0
19,131,716,12,23,0.371582099,4,1
49,105,679,20,35,0.479543927,3,1
51,130,840,91,31,0.956407087,5,0
24,146,625,18,19,0.126756196,0,1
49,51,361,19,31,0.404136111,3,0
35,90,543,57,36,0.273553141,5,0
51,198,496,84,36,0.798952512,4,0
68,155,381,99,35,0.094030748,2,0
30,108,801,99,22,0.520765982,2,0
32,164,748,87,30,0.97530118,1,0
45,81,377,73,4,0.67335623,3,0
34,183,762,29,6,0.17688294,0,1
52,128,752,72,15,0.459333496,1,1
51,97,411,45,27,0.041491491,5,1
39,35,620,59,16,0.086571395,5,0
18,112,330,66,34,0.607637995,3,0
22,197,420,97,16,0.020248618,2,0
23,78,641,42,4,0.25153139,5,1
66,105,827,86,26,0.944066649,3,0
39,133,773,47,18,0.0683625,4,1
31,160,714,15,21,0.382968233,0,1
67,78,326,52,38,0.645980678,4,0
67,192,573,87,22,0.592019667,3,0
20,89,403,9,1,0.743499864,0,0
56,25,331,14,15,0.244225334,5,1
39,84,318,82,39,0.925663576,5,0
69,159,600,53,23,0.451673728,2,0
30,199,542,99,34,0.25736873,3,0
33,85,721,86,10,0.547183082,3,0
51,119,738,77,1,0.294667122,4,1
68,122,813,100,8,0.30669727,5,1
26,35,761,22,4,0.494633863,1,0
31,53,338,80,24,0.646836037,2,0
53,187,806,31,30,0.351074906,3,1
18,91,713,93,33,0.949594995,0,0
39,149,843,10,13,0.181312952,2,1
56,138,570,38,6,0.383360519,4,0
35,134,529,94,31,0.262764038,3,0
35,145,678,54,39,0.911603518,1,0
29,173,555,46,17,0.352644031,3,0
19,51,616,16,12,0.002011264,0,1
33,178,603,22,26,0.09673295,3,1
64,74,843,14,15,0.255411376,0,1
42,110,720,48,15,0.999246092,0,0
68,38,770,7,23,0.803784379,1,0
29,25,516,50,38,0.551834194,0,1
62,35,492,18,20,0.680628916,4,0
39,91,474,45,33,0.890793052,3,1
60,62,844,71,34,0.149916628,3,1
40,166,350,14,1,0.222946705,2,0
20,137,702,19,26,0.368529473,0,1
48,182,474,89,25,0.995974059,5,0
19,153,430,69,32,0.060597696,1,0
48,168,433,19,14,0.348567507,1,1
21,58,402,45,1,0.629030331,4,0
26,63,481,26,21,0.920245446,5,0
64,111,609,56,10,0.520745361,3,0
62,198,527,40,11,0.66154125,3,0
29,65,443,7,24,0.350100138,1,0
68,177,384,39,37,0.800987409,1,0
25,129,434,36,0,0.914820894,5,0
61,29,469,50,16,0.657723905,5,0
38,179,433,72,22,0.36497854,0,1
23,196,752,21,13,0.397123026,2,1
29,36,361,12,17,0.034934809,0,0
43,109,722,63,34,0.261388681,1,1
41,189,452,72,12,0.018688455,5,0
28,30,308,48,15,0.702600967,3,0
59,159,448,17,14,0.880036368,4,0
32,155,811,11,31,0.228285062,0,1
65,121,376,63,0,0.961294521,1,1
49,147,351,62,39,0.114638143,2,0
31,102,736,89,0,0.887482517,3,0
70,152,765,56,35,0.702494163,3,0
43,45,421,75,2,0.083613469,5,0
67,48,474,80,16,0.306439191,2,0
52,140,796,71,6,0.641569986,2,0
57,147,462,41,2,0.600225411,0,0
37,21,531,57,17,0.091719615,3,0
48,39,633,97,25,0.98166565,0,0
23,29,566,10,24,0.868683212,1,0
34,134,392,56,20,0.096110066,3,0
35,75,842,90,9,0.546703872,1,0
25,72,850,25,23,0.815027104,5,0
42,40,326,85,38,0.513338707,3,0
41,150,770,46,4,0.250641118,0,1
22,148,320,100,30,0.304829947,3,1
21,75,846,98,36,0.952698139,4,0
26,24,349,21,19,0.929930663,3,0
65,161,584,19,7,0.98319341,3,0
64,113,409,8,0,0.58731981,3,0
58,65,544,76,23,0.27438709,4,0
52,122,763,95,34,0.276265379,4,1
68,63,761,71,32,0.772199655,2,0
70,115,581,79,39,0.416786992,5,0
70,187,464,31,37,0.136038583,5,1
18,26,367,58,32,0.323994196,4,0
28,32,616,19,27,0.738976596,2,1
68,169,640,42,2,0.326565455,4,1
49,138,433,27,33,0.776505417,3,0
33,45,809,81,1,0.076489773,2,0
63,138,379,17,25,0.063523398,1,0
35,68,437,60,40,0.126791512,3,0
46,186,574,97,19,0.134793086,3,0
52,45,720,85,21,0.389263463,5,0
41,165,626,82,6,0.718378285,4,0
55,81,433,95,3,0.535397101,5,0
51,197,597,36,30,0.195026985,4,0
37,173,850,10,33,0.585448291,3,0
40,137,516,60,1,0.905013946,3,0
38,195,601,74,24,0.410378375,5,1
57,174,332,34,7,0.311020147,1,0
21,44,529,67,30,0.281681834,0,0
68,61,766,64,33,0.16556127,2,0
59,100,360,37,22,0.637780652,3,0
30,148,703,74,17,0.600202208,1,0
51,190,422,44,33,0.600628665,0,0
38,91,520,13,38,0.948253285,2,0
56,178,534,8,38,0.714012801,2,0
67,72,738,62,40,0.956166784,5,1
67,97,528,47,0,0.862014107,3,0
56,81,545,30,9,0.871708911,5,0
64,70,650,16,4,0.995917415,0,0
22,195,782,78,0,0.739012744,2,0
42,149,830,61,16,0.885216929,1,0
35,199,592,69,0,0.264407714,2,0
54,134,559,5,25,0.577695588,3,0
66,83,304,5,38,0.086013636,5,0
34,136,733,6,38,0.962465534,4,0
63,147,315,62,10,0.437228632,3,0
58,37,801,26,10,0.978667187,2,0
59,196,625,91,1,0.715874417,0,0
53,161,652,93,27,0.846246047,1,0
21,83,329,78,27,0.227893098,1,0
61,72,556,83,9,0.915883534,4,0
37,69,520,93,38,0.797704562,1,0
69,87,500,35,29,0.663986862,2,0
21,32,425,21,22,0.503820099,2,1
32,100,667,89,18,0.395703154,2,1
31,115,350,36,22,0.99935293,4,0
28,87,646,45,2,0.520316722,4,0
66,38,312,7,8,0.416286304,3,0
33,40,850,30,19,0.050832099,3,0
29,95,762,56,6,0.170632457,3,1
54,46,757,73,29,0.122031515,1,0
45,117,463,89,38,0.503548473,1,0
50,25,354,10,38,0.919848025,3,1
65,24,386,67,24,0.350740899,3,0
62,45,636,54,16,0.137878219,0,0
69,66,824,69,37,0.530093063,2,0
53,134,768,63,11,0.508277004,4,0
70,70,366,30,8,0.971444745,0,0
40,131,561,55,9,0.484053119,2,0
47,23,644,91,0,0.332902805,2,0
55,171,371,62,34,0.026352912,4,0
52,157,753,47,33,0.659670043,4,0
68,114,658,33,19,0.703107151,1,0
25,61,842,44,2,0.247443619,3,0
69,67,784,66,11,0.151886402,0,1
29,200,330,28,14,0.766345725,5,0
31,187,447,54,39,0.344313779,2,0
44,67,487,15,28,0.172504947,4,0
30,54,709,82,20,0.080516353,1,1
48,47,414,72,27,0.103814913,0,0
29,199,500,31,15,0.804321941,3,0
53,167,842,76,13,0.158427149,2,1
54,23,441,34,33,0.14485211,3,0
51,46,577,68,29,0.91524331,0,0
22,61,674,26,20,0.619369283,1,1
62,168,847,58,4,0.517598825,1,0
41,160,557,38,28,0.09605272,1,0
62,34,361,60,33,0.806407454,2,0
68,198,599,69,15,0.64678244,1,0
65,68,350,72,0,0.18241389,1,0
32,116,539,15,1,0.190018405,2,0
22,146,635,53,35,0.191339203,2,1
65,77,823,71,32,0.274350164,0,1
50,62,712,16,21,0.181641014,5,1
53,106,742,9,11,0.740312984,5,0
32,111,790,69,36,0.525543736,0,0
37,144,460,45,7,0.283322315,5,0
40,198,324,93,38,0.259108007,1,0
65,40,307,32,34,0.343840304,2,0
65,92,713,55,27,0.423577929,2,1
65,76,470,18,13,0.290701261,1,0
44,89,819,42,17,0.117056459,5,1
20,127,655,62,11,0.739270494,1,0
67,186,600,97,20,0.840679111,0,0
47,93,379,56,36,0.528673443,3,0
37,136,606,6,19,0.046033782,4,1
35,73,396,40,19,0.4121745,5,0
43,93,701,57,25,0.517251825,2,0
65,162,574,99,21,0.738260681,3,0
22,193,738,95,40,0.350838231,3,1
66,135,363,65,0,0.943011852,0,0
44,102,507,43,4,0.942451445,3,0
64,173,454,45,34,0.457547229,5,0
49,118,700,8,38,0.631476052,5,0
35,142,709,96,5,0.807079156,5,0
23,139,659,91,22,0.871182595,0,0
46,177,320,7,30,0.506884066,1,0
37,66,355,34,22,0.049849395,4,0
59,133,591,7,7,0.392759135,1,0
44,181,388,33,28,0.242276194,3,0
56,157,787,99,5,0.461934073,3,1
50,81,775,71,40,0.738967066,3,0
47,65,432,26,3,0.864188363,0,0
22,32,623,81,0,0.174510402,2,0
34,67,829,11,38,0.989149911,2,0
66,176,696,20,24,0.981899054,0,0
52,174,579,83,16,0.458724054,3,0
64,91,498,62,15,0.099184147,1,0
49,78,302,50,12,0.113663585,4,1
39,33,676,24,36,0.058491378,1,0
68,113,784,22,39,0.363868461,2,1
24,88,753,30,14,0.78144889,4,0
41,148,840,45,13,0.903539185,4,0
44,124,778,17,3,0.530024637,1,0
58,21,489,40,6,0.749823584,5,0
49,187,468,62,36,0.289750889,3,0
22,127,796,38,7,0.572615392,1,0
28,94,345,97,21,0.172172969,4,0
63,98,775,49,29,0.900679387,5,0
54,199,803,83,2,0.510641849,0,0
62,47,823,58,13,0.94389789,2,0
46,25,488,17,36,0.452684272,1,0
38,99,482,21,32,0.09806937,1,1
33,167,743,24,24,0.662123441,1,0
23,195,465,70,10,0.95544491,0,0
34,21,673,59,23,0.914732424,4,0
43,127,739,81,14,0.154897685,4,1
68,178,779,85,10,0.061417442,0,1
66,178,759,19,10,0.990356758,0,0
27,26,549,11,3,0.015166215,2,0
59,128,745,19,21,0.120525002,3,1
32,178,478,92,3,0.643464544,1,0
55,36,426,61,8,0.179407241,0,0
33,193,708,91,17,0.150398273,2,1
51,101,560,58,5,0.67320541,2,0
44,49,766,40,28,0.653136411,2,0
40,146,387,69,16,0.342568025,4,0
51,190,739,62,31,0.204961019,3,1
24,141,781,49,17,0.829252492,2,0
51,152,811,85,11,0.479627237,0,0
56,183,445,82,10,0.732969668,5,0
61,33,421,80,7,0.036296278,5,1
58,49,818,31,25,0.534270487,5,0
56,70,333,89,28,0.845133526,4,0
26,100,786,52,37,0.897640693,1,0
48,77,488,16,28,0.621355155,5,0
40,127,786,14,22,0.489466657,0,1
58,175,372,30,9,0.926042768,2,0
19,141,306,5,16,0.67286796,3,0
18,124,371,68,7,0.806548435,2,0
18,101,467,83,10,0.67037591,3,0
41,195,670,95,6,0.781853539,0,0
41,28,585,17,9,0.905840292,3,0
22,23,515,11,9,0.430798053,4,0
38,124,797,38,1,0.20800381,5,1
63,46,372,58,28,0.23105462,0,0
38,185,499,27,31,0.53759066,3,0
61,169,805,35,15,0.177057697,4,1
43,165,830,62,36,0.154876604,1,1
53,34,749,94,27,0.064324195,1,0
27,143,735,91,14,0.940578354,3,0
34,119,447,28,16,0.484541731,0,0
68,88,735,96,3,0.329010577,4,1
60,63,392,11,10,0.759526336,5,0
30,112,715,73,0,0.367031176,2,1
23,51,465,34,19,0.677565226,2,0
63,85,572,35,3,0.003442499,5,0
49,46,763,51,40,0.981816702,0,0
42,90,773,97,2,0.182109262,2,1
47,29,383,56,6,0.727623385,4,0
44,99,599,23,0,0.463195878,2,0
41,180,470,6,11,0.759411447,1,0
25,42,787,59,28,0.558696964,0,1
24,150,466,93,32,0.72860048,1,0
23,81,308,39,18,0.908780943,3,0
20,52,798,97,5,0.166518711,1,1
60,23,834,60,8,0.224186551,3,0
21,68,328,10,13,0.23438862,5,0
42,96,323,20,35,0.075238508,4,0
45,44,842,96,38,0.973131388,1,0
24,82,555,76,6,0.029810723,0,1
20,177,774,71,4,0.797329086,3,0
52,66,744,32,35,0.771932112,4,0
42,36,752,46,35,0.94173453,5,0
70,124,458,75,17,0.019419696,5,0
70,118,334,21,7,0.509877474,1,0
40,167,572,53,5,0.761651989,4,0
27,172,648,28,30,0.459690292,0,1
25,186,706,5,15,0.51041851,3,0
29,177,500,78,39,0.068545799,1,0
23,103,336,58,22,0.85222458,4,0
69,76,683,18,29,0.269290968,5,0
66,200,414,57,34,0.725769016,4,0
37,34,719,11,30,0.5871917,3,0
48,65,765,79,6,0.661519282,5,1
40,73,786,5,32,0.43594915,4,1
64,71,366,96,21,0.920051507,2,0
29,106,731,75,31,0.870694502,2,0
38,55,621,92,34,0.054580311,2,1
33,62,365,67,12,0.117703062,2,0
33,138,796,38,35,0.866783778,5,0
32,44,828,30,5,0.656007709,4,0
61,180,693,15,7,0.763460677,5,0
37,57,412,80,33,0.556797698,0,0
45,55,585,21,8,0.288579041,3,0
57,54,300,28,1,0.606391556,5,0
54,42,636,78,15,0.850358847,2,0
20,22,714,98,15,0.681318304,0,0
42,121,309,9,18,0.542744719,0,0
46,60,722,93,9,0.900684548,4,0
36,55,700,93,16,0.997135225,2,0
54,188,779,22,36,0.342662664,0,1
43,101,608,35,38,0.335685441,3,1
31,85,811,22,5,0.543929563,1,0
31,122,748,43,8,0.408100648,0,1
54,185,624,88,38,0.714837198,2,0
23,104,427,47,16,0.415348069,4,0
59,129,719,67,19,0.462021784,2,1
40,54,723,87,21,0.381235186,5,1
36,39,563,91,5,0.19003308,5,0
43,166,830,49,40,0.59076806,3,0
42,165,797,91,10,0.070109793,4,1
20,108,380,95,38,0.975179136,0,0
27,102,689,13,19,0.384913772,2,1
57,195,509,43,6,0.637675357,5,0
68,70,453,90,11,0.993416357,0,0
46,87,445,90,0,0.602362543,2,0
51,121,414,57,39,0.200673902,5,0
43,69,708,81,32,0.29741393,4,1
45,106,531,41,22,0.732555861,5,0
63,155,509,42,8,0.439615251,0,0
53,131,843,38,32,0.444937698,0,1
70,162,405,53,11,0.758720868,2,0
31,151,437,71,16,0.715555496,1,0
57,148,350,99,22,0.19910229,4,0
50,115,704,62,24,0.773426557,4,0
65,50,654,37,35,0.776310653,4,0
66,83,596,81,15,0.123728088,5,0
62,188,658,55,34,0.092743795,3,1
46,75,662,48,2,0.51778817,0,0
36,53,322,38,35,0.425646333,1,0
47,170,488,19,30,0.078239892,4,0
21,112,655,64,7,0.608403228,2,0
62,40,678,45,23,0.466195805,2,0
44,58,747,56,12,0.399330833,2,1
42,136,442,50,30,0.99070924,3,0
34,113,548,30,29,0.417817452,4,0
52,153,346,72,16,0.823001175,5,0
23,111,693,92,17,0.845968145,0,0
34,114,793,14,20,0.779581167,4,0
51,56,727,14,39,0.581785835,3,0
40,108,329,18,9,0.385030681,2,0
61,96,676,42,14,0.315073462,2,1
52,63,517,29,22,0.336326612,2,0
60,63,779,44,37,0.561421678,3,0
43,169,592,99,38,0.521353975,2,0
50,122,824,71,34,0.646422054,3,0
42,112,546,63,19,0.244743941,0,0
29,172,764,96,21,0.516718754,0,0
29,136,802,62,0,0.929982818,4,0
50,52,811,58,23,0.296143164,1,1
36,134,785,36,2,0.900377729,1,0
69,190,398,39,40,0.656911013,3,0
37,23,457,15,2,0.433973923,2,0
45,46,734,22,21,0.760542985,3,0
57,53,610,31,40,0.899545188,4,0
18,61,443,76,4,0.147534339,2,0
25,87,739,76,25,0.520864824,1,0
54,99,804,69,23,0.683847208,4,0
33,126,522,52,25,0.705918111,5,0
24,149,671,72,16,0.486843166,3,1
45,57,345,24,16,0.718972939,5,0
54,47,457,74,18,0.174807894,2,0
33,177,454,86,25,0.881397853,0,0
60,158,795,49,38,0.946316946,3,0
40,33,829,12,0,0.647603661,4,0
50,48,380,66,2,0.563819125,5,0
69,71,764,14,23,0.492137264,2,1
52,184,385,25,40,0.747000586,2,0
46,170,847,9,10,0.968525632,1,0
47,128,356,90,10,0.873899368,0,0
57,151,800,62,6,0.436817821,1,1
32,55,385,68,17,0.91764908,0,0
68,140,775,89,6,0.900449986,4,0
21,200,738,88,16,0.872798298,4,0
51,190,678,65,8,0.366871706,0,1
68,45,593,64,5,0.901188768,2,1
28,132,777,85,10,0.739357605,5,1
34,96,311,57,33,0.903455436,1,0
42,87,746,61,13,0.044893114,3,1
22,134,671,10,38,0.918094793,0,0
51,118,343,29,16,0.991304059,3,0
26,162,479,54,0,0.991142774,3,1
33,57,455,15,4,0.39723284,3,0
34,157,831,10,21,0.309659308,2,1
59,58,842,16,27,0.396610342,3,1
31,175,842,50,38,0.357796029,1,1
62,78,326,5,10,0.167881428,2,0
54,186,309,79,33,0.219282748,1,0
29,115,680,70,9,0.231417093,1,1
61,59,776,22,31,0.878955111,0,0
48,158,848,27,24,0.701449138,1,0
64,85,767,95,13,0.705309061,0,0
19,200,769,91,22,0.212923882,0,1
42,92,378,82,14,0.426334905,1,0
37,37,676,58,14,0.463359306,2,0
45,33,849,96,15,0.548746665,5,0
21,121,528,5,3,0.319850493,1,0
55,172,471,28,13,0.285610536,2,0
